0,1073052384
1,1073741792
2,1072758208
3,1072401984
4,1073741792
5,1073741792
6,1052914944
7,1052425792
8,1052028800
9,1053311936
10,1031373824
11,1029254144
12,0
13,0
14,0
15,0
16,0
17,0
18,1072105984
19,1073587616
20,1073631936
21,1073584064
22,1058160000
23,0
24,1045379200
25,1042922880
26,1043855104
27,1073052384
28,1040487744
29,1028559488
30,1058737760
31,1073587616
32,1073741792
33,0
34,1044539200
35,1046683648
36,1044638400
37,1039660928
38,1039264000
39,1072634144
40,1072868064
41,1072596928
42,1031714048
43,1072279680
44,1070578304
45,1072690848
46,1073587616
47,1072953152
48,1073587616
49,1072784768
50,1073741792
51,1073162272
52,1073631936
53,1070583616
54,1070759072
55,1070580064
56,1070957568
57,1072868064
58,1072029792
59,1072001440
60,1071464448
61,1072049280
62,1071739136
63,1071462656
64,1073036448
65,1073429888
66,1033748608
67,1044081920
68,1031976448
69,1037158528
70,1033911680
71,1030516096
72,1072742240
73,1069034656
74,1071239360
75,1070627936
76,1070771488
77,1069231360
78,1073250880
79,1070186624
80,1071538880
81,1072639456
82,1071464448
83,1067685952
84,1071700160
85,1070124608
86,1071740896
87,1070450688
88,1069982816
89,1069688608
90,1072272608
91,1069405056
92,1068818432
93,1070698816
94,1072527808
95,1071150752
96,1070783872
97,1072813120
98,1070209664
99,1070477280
100,1070530464
101,1072667808
102,1071386464
103,1070158272
104,1071723200
105,1072953152
106,1072910624
107,1071990816
108,1069755968
109,1072784768
110,1067691264
111,1067668224
112,1070291200
113,1046697792
114,1073470656
115,1073631936
116,1057869344
117,1073429888
118,1072589824
119,1072510080
120,1072446272
121,1072855680
122,1072747552
123,1072690848
124,1072820224
125,1035152256
126,1046697792
127,1070314240
128,1032692352
129,1033911680
130,1072129024
131,1072047520
132,1072869856
133,1072570336
134,1050795264
135,1050394752
136,1048718208
137,1048615424
138,1048732352
139,1048381440
140,1043149696
141,1050795264
142,1071618624
143,1072244224
144,1072596928
145,1072690848
146,1073351904
147,1073279232
148,1073587616
149,1067184384
150,1072818464
151,0
152,1073633696
153,1038207744
154,1072609312
155,1072784768
156,1071390016
157,1071349248
158,1072279680
159,1071288992
160,1066544608
161,1071935872
162,1072492352
163,1072362976
164,1071934080
165,1072042208
166,1072988576
167,1073568128
168,1069607104
169,1067037312
170,1073043520
171,1066918560
172,1073151648
173,1073472416
174,1071877376
175,1070099776
176,1070291200
177,1040498368
178,1070186624
179,1073741792
180,1073568128
181,1071990816
182,1071964224
183,1070925664
184,1033252480
185,1070783872
186,1072433856
187,1070516256
188,1073291648
189,1073568128
190,1073741792
191,1072433856
192,1073116192
193,1073307584
194,1054169728
195,1072868064
196,1073587616
197,1044918464
198,1041427072
199,1070913248
200,1070957568
201,1072846816
202,1072758208
203,1072669568
204,1071852576
205,1039391616
206,1072012064
207,1030516096
208,1073741792
209,1069665568
210,1069624832
211,1071808256
212,1068977952
213,1072231840
214,1072061696
215,1071758624
216,1072825536
217,1072859200
218,1073741792
219,1071866752
220,1072619968
221,1072604000
222,1072646528
223,1073054176
224,1069406816
225,1070030656
226,1069841024
227,1070984160
228,1069826848
229,1067042624
230,1069869376
231,1071249984
232,1069989920
233,1072513632
234,1071032000
235,1070698816
236,1071127712
237,1073435200
238,1070186624
239,1070291200
240,1070925664
241,1070868960
242,1073741792
243,1072047520
244,1073307584
245,1073073664
246,1072967328
247,1069789632
248,1073279232
249,1069431648
250,1070815776
251,1069738240
252,1069708128
253,1068634112
254,1069566336
255,1070030656
256,1071032000
257,1073279232
258,1050795264
259,1070661600
260,1071751552
261,1073741792
262,1073279232
263,1072042208
264,1072047520
265,1073351904
266,1072962016
267,1071641664
268,1072772384
269,1072237152
270,1069851680
271,1072609312
272,1073307584
